,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
3,Loyal Heights,47.68327611825291,-122.38490775305536,Cafe Munir,47.68690805359445,-122.38799637355696,Middle Eastern Restaurant
8,Loyal Heights,47.68327611825291,-122.38490775305536,Robertino's,47.68689602986237,-122.38810262449806,Café
13,Adams,47.670089099418966,-122.3862946780414,Pestle Rock,47.66853238288658,-122.38661516925326,Thai Restaurant
14,Adams,47.670089099418966,-122.3862946780414,La Carta De Oaxaca,47.6681689403781,-122.38576711568744,Mexican Restaurant
15,Adams,47.670089099418966,-122.3862946780414,Ocho,47.66858851536586,-122.38744605331456,Tapas Restaurant
23,Adams,47.670089099418966,-122.3862946780414,Gather Kitchen + Bar,47.6697229723674,-122.38491065982052,New American Restaurant
25,Adams,47.670089099418966,-122.3862946780414,Vain,47.66757498295675,-122.38475619233688,Salon / Barbershop
28,Adams,47.670089099418966,-122.3862946780414,Pink Bee,47.669632,-122.382668,Thai Restaurant
31,Adams,47.670089099418966,-122.3862946780414,Skål Beer Hall,47.66804670045908,-122.38581667933067,Beer Bar
32,Adams,47.670089099418966,-122.3862946780414,Mr. Gyros,47.669304093851295,-122.38201770061768,Mediterranean Restaurant
36,Adams,47.670089099418966,-122.3862946780414,Little Tin Goods & Apothecary Cabinet,47.667091873627314,-122.38427536508348,Cocktail Bar
40,Whittier Heights,47.6832961922964,-122.37142025116896,Un Bien,47.68163662900125,-122.37663719087422,Caribbean Restaurant
45,Whittier Heights,47.6832961922964,-122.37142025116896,Essex,47.6794855750636,-122.37489114357932,Cocktail Bar
48,Whittier Heights,47.6832961922964,-122.37142025116896,Viet Nam Restaurant,47.68074174164696,-122.3765923409503,Vietnamese Restaurant
49,Whittier Heights,47.6832961922964,-122.37142025116896,Thunderbird Tavern,47.683719080025554,-122.37702409468814,Bar
50,Whittier Heights,47.6832961922964,-122.37142025116896,Sazon Kitchen,47.681571,-122.377033,Mexican Restaurant
51,Whittier Heights,47.6832961922964,-122.37142025116896,Waterwheel Lounge,47.68056627268515,-122.3763768307792,Karaoke Bar
52,Whittier Heights,47.6832961922964,-122.37142025116896,Tarasco,47.67965307371493,-122.3747641605407,Bar
60,West Woodland,47.66787434216366,-122.36855994221962,Trailbend Taproom,47.66515536499787,-122.37157687427263,Beer Bar
74,West Woodland,47.66787434216366,-122.36855994221962,Ballard Mandarin,47.668893916380206,-122.36598440584147,Chinese Restaurant
100,University District,47.65972838933905,-122.30833161801831,Shawarma King,47.66092348228639,-122.31319861700942,Mediterranean Restaurant
101,University District,47.65972838933905,-122.30833161801831,Pho Shizzle,47.659345641209,-122.3134034872055,Vietnamese Restaurant
102,University District,47.65972838933905,-122.30833161801831,Sizzle&Crunch,47.658331064824885,-122.313561130449,Vietnamese Restaurant
103,University District,47.65972838933905,-122.30833161801831,Ugly Mug Cafe,47.65986648519373,-122.31367437660944,Café
106,University District,47.65972838933905,-122.30833161801831,Aladdin Gyro-Cery,47.65799034562859,-122.3133720522155,Middle Eastern Restaurant
107,University District,47.65972838933905,-122.30833161801831,Taste of Xi'an,47.661957072723055,-122.31333743786143,Chinese Restaurant
109,University District,47.65972838933905,-122.30833161801831,Saigon Deli,47.65820490304947,-122.314335102769,Vietnamese Restaurant
110,University District,47.65972838933905,-122.30833161801831,H-Mart,47.65895769658186,-122.31319932286324,Grocery Store
119,University District,47.65972838933905,-122.30833161801831,Thai Tom,47.6626054903407,-122.313312292099,Thai Restaurant
120,University District,47.65972838933905,-122.30833161801831,川宗 Red Pepper,47.6626757065786,-122.31325548950012,Chinese Restaurant
122,University District,47.65972838933905,-122.30833161801831,Myung-dong Soft Tofu House Korean Restaurant,47.65828344387334,-122.3139603916894,Korean Restaurant
124,University District,47.65972838933905,-122.30833161801831,Little Thai,47.65828779071395,-122.31383058633205,Thai Restaurant
125,University District,47.65972838933905,-122.30833161801831,University Teriyaki,47.65723181407389,-122.3131115294926,Asian Restaurant
127,University District,47.65972838933905,-122.30833161801831,Thanh Vi,47.65912961829663,-122.31320341612232,Vietnamese Restaurant
129,East Queen Anne,47.63610855858225,-122.34952141259647,Lyon's Grocery,47.63774751414437,-122.34352719258987,Grocery Store
132,West Queen Anne,47.63446593980578,-122.367138236298,Targy's Tavern,47.63781934037198,-122.36507407531748,Dive Bar
134,West Queen Anne,47.63446593980578,-122.367138236298,Via Tribunali,47.63225947149072,-122.36136527766216,Italian Restaurant
141,Lower Queen Anne,47.62482439665341,-122.35509741564088,Metropolitan Market,47.62474166417963,-122.35499191713085,Grocery Store
142,Lower Queen Anne,47.62482439665341,-122.35509741564088,Coba Viet Kitchen & Ale House,47.62417251491562,-122.3552424175114,Vietnamese Restaurant
143,Lower Queen Anne,47.62482439665341,-122.35509741564088,Sal Y Limon,47.62466823038943,-122.35621581762906,Mexican Restaurant
144,Lower Queen Anne,47.62482439665341,-122.35509741564088,Toulouse Petit Kitchen & Lounge,47.624761147936056,-122.3568293998538,Cajun / Creole Restaurant
145,Lower Queen Anne,47.62482439665341,-122.35509741564088,The Masonry,47.62534950408276,-122.35566063654409,Bar
150,Lower Queen Anne,47.62482439665341,-122.35509741564088,Shiki Japanese Restaurant,47.62576223873566,-122.35706879879834,Japanese Restaurant
152,Lower Queen Anne,47.62482439665341,-122.35509741564088,Cafe Goldinblack,47.62514576037756,-122.35668471705952,Korean Restaurant
154,Lower Queen Anne,47.62482439665341,-122.35509741564088,Taylor Shellfish Oyster Bar Queen Anne,47.62335780166168,-122.35430187658056,Seafood Restaurant
163,Lower Queen Anne,47.62482439665341,-122.35509741564088,Paju,47.624384,-122.356203,Korean Restaurant
176,North Queen Anne,47.64713772374516,-122.36528905464137,C Store,47.64974151309204,-122.36410083401456,American Restaurant
180,Westlake,47.63248901972592,-122.34165148327192,The Toledo,47.63387023053948,-122.3421342168882,Cocktail Bar
181,Westlake,47.63248901972592,-122.34165148327192,Pasta Freska,47.632872825114376,-122.3409347105296,Italian Restaurant
187,Westlake,47.63248901972592,-122.34165148327192,Koibito Sushi & Teriyaki,47.6298699073962,-122.34262575645332,Japanese Restaurant
190,Westlake,47.63248901972592,-122.34165148327192,Lakeview Deli,47.63260451129334,-122.34104247254488,Café
203,Eastlake,47.64219980770673,-122.325461088481,Pete's Supermarket & Wine Shop,47.63984148993716,-122.3290809348918,Grocery Store
205,Eastlake,47.64219980770673,-122.325461088481,Serafina,47.638110272572256,-122.3259943256236,Italian Restaurant
207,Eastlake,47.64219980770673,-122.325461088481,Cicchetti,47.63809505791794,-122.326392276065,Italian Restaurant
209,Eastlake,47.64219980770673,-122.325461088481,Abay Ethiopian Restaurant,47.6412303103596,-122.3200447153544,Ethiopian Restaurant
213,Eastlake,47.64219980770673,-122.325461088481,Roanoke Park Place Tavern,47.641737756028654,-122.32034554074563,Bar
216,Eastlake,47.64219980770673,-122.325461088481,Pomodoro Restaurant,47.64168195019798,-122.32587890800669,Italian Restaurant
217,Eastlake,47.64219980770673,-122.325461088481,Pecado Bueno,47.641152320787086,-122.3257692410152,Mexican Restaurant
221,Eastlake,47.64219980770673,-122.325461088481,Salee Thai,47.641151,-122.320328,Thai Restaurant
228,South Lake Union,47.62409435738327,-122.33569314486188,Bar Harbor,47.62227573747293,-122.3343025696054,Bar
231,South Lake Union,47.62409435738327,-122.33569314486188,The Berliner Döner Kebab,47.6228556777376,-122.33851877956616,Turkish Restaurant
233,South Lake Union,47.62409435738327,-122.33569314486188,Mbar,47.62280989583523,-122.3338989488895,American Restaurant
236,South Lake Union,47.62409435738327,-122.33569314486188,Flatstick Pub,47.624974447126526,-122.33839430488082,Beer Bar
242,South Lake Union,47.62409435738327,-122.33569314486188,Kati Vegan Thai,47.620864233000646,-122.33334017463096,Vegetarian / Vegan Restaurant
248,South Lake Union,47.62409435738327,-122.33569314486188,Veggie Grill,47.6230785,-122.3369198,Vegetarian / Vegan Restaurant
249,South Lake Union,47.62409435738327,-122.33569314486188,Portage Bay Cafe,47.62181094445847,-122.3373421508227,American Restaurant
255,South Lake Union,47.62409435738327,-122.33569314486188,Cactus,47.62187354245006,-122.33710833098336,Mexican Restaurant
269,Southeast Magnolia,47.64173607812332,-122.39253221124072,Ichiro Sushi & Teriyaki,47.6406451088129,-122.39836109552792,Japanese Restaurant
271,Southeast Magnolia,47.64173607812332,-122.39253221124072,Albertsons,47.6423873,-122.3981868,Grocery Store
274,Madrona,47.61330104584788,-122.28893982199374,Bottlehouse,47.613475912356726,-122.2891614005053,Wine Bar
275,Madrona,47.61330104584788,-122.28893982199374,Vendemmia,47.61245956512908,-122.28927116103112,Italian Restaurant
277,Madrona,47.61330104584788,-122.28893982199374,Bistro Turkuaz,47.6120499963144,-122.28924766424409,Turkish Restaurant
278,Madrona,47.61330104584788,-122.28893982199374,June,47.61361265640899,-122.28937783385996,Asian Restaurant
