id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_days_active,air_conditioning,bbq,balcony,bed_linen,tv,coffee_machine,cooking_basics,white_goods,elevator,gym,child_friendly,parking,outdoor_space,internet,long_term_stays,private_entrance,time_since_first_review,time_since_last_review
2318,2008-08-26,within an hour,100%,0.0,2.0,1.0,Madrona,Central Area,House,Entire home/apt,9,2.5,4.0,4.0,349,30,1125,107,32,2008-09-15,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,4601.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4+ years,1+ year
9419,2009-08-09,within an hour,100%,1.0,8.0,1.0,Georgetown,Other neighborhoods,Other,Private room,2,3.0,1.0,2.0,55,2,180,352,148,2010-07-30,80-94/100,10/10,10/10,10/10,10/10,10/10,10/10,0,4253.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,1+ year
9531,2009-08-13,within a few hours,100%,1.0,0.0,1.0,Fairmount Park,West Seattle,House,Entire home/apt,4,1.0,2.0,3.0,165,3,1125,210,41,2012-01-12,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,4249.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,2-6 months
9534,2009-08-13,within a few hours,100%,1.0,0.0,1.0,Fairmount Park,West Seattle,Other,Entire home/apt,3,1.0,2.0,2.0,125,3,1125,217,56,2012-01-15,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,0,4249.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,2-8 weeks
9596,2009-04-26,within an hour,90-99%,0.0,5.0,1.0,Wallingford,Other neighborhoods,Apartment,Entire home/apt,4,1.0,1.0,4.0,100,4,60,23,97,2011-06-15,80-94/100,9/10,9/10,10/10,9/10,10/10,9/10,0,4358.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4+ years,6-12 months
9909,2009-08-23,within an hour,100%,1.0,7.0,1.0,Fairmount Park,West Seattle,House,Entire home/apt,4,1.0,2.0,2.0,80,30,180,227,76,2009-11-03,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,4239.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4+ years,2-8 weeks
10209,2009-08-13,within an hour,50-89%,0.0,3.0,1.0,High Point,Delridge,Other,Private room,1,2.0,1.0,2.0,75,5,730,201,41,2009-11-08,80-94/100,0-8/10,0-8/10,10/10,9/10,9/10,9/10,0,4249.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4+ years,2-6 months
11012,2009-04-26,within an hour,90-99%,0.0,5.0,1.0,Wallingford,Other neighborhoods,House,Entire home/apt,8,2.0,3.0,3.0,310,3,90,145,97,2010-01-31,95-100/100,10/10,9/10,10/10,10/10,10/10,10/10,0,4358.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4+ years,2-8 weeks
25002,2010-04-02,within an hour,100%,1.0,1.0,1.0,Whittier Heights,Ballard,Other,Entire home/apt,4,1.0,1.0,2.0,73,2,30,134,839,2010-04-23,95-100/100,10/10,10/10,10/10,10/10,10/10,10/10,1,4017.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4+ years,2-8 weeks
26795,2010-04-26,within an hour,100%,0.0,1.0,0.0,Eastlake,Cascade,House,Entire home/apt,3,1.0,2.0,3.0,171,30,730,353,64,2010-08-18,80-94/100,9/10,9/10,9/10,9/10,10/10,9/10,0,3993.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4+ years,1+ year
