,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Loyal Heights,47.68327611825291,-122.38490775305536,Loyal Heights Playfield,47.68394595160837,-122.38308775351594,Soccer Field
1,Loyal Heights,47.68327611825291,-122.38490775305536,Fresh Fish Company,47.68688775263134,-122.38723618613751,Fish Market
2,Loyal Heights,47.68327611825291,-122.38490775305536,Mabel Coffee,47.6796498,-122.3879238,Coffee Shop
3,Loyal Heights,47.68327611825291,-122.38490775305536,Cafe Munir,47.68690805359445,-122.38799637355696,Middle Eastern Restaurant
4,Loyal Heights,47.68327611825291,-122.38490775305536,Larsen's Bakery,47.68680429086032,-122.38752398755355,Bakery
5,Loyal Heights,47.68327611825291,-122.38490775305536,Soprano's Pizza & Pasta,47.68594818194729,-122.38779099882282,Pizza Place
6,Loyal Heights,47.68327611825291,-122.38490775305536,Saleh's Delicatessen,47.68670232183992,-122.3879181997279,Convenience Store
7,Loyal Heights,47.68327611825291,-122.38490775305536,La Copa Cafe,47.686817,-122.38791,Coffee Shop
8,Loyal Heights,47.68327611825291,-122.38490775305536,Robertino's,47.68689602986237,-122.38810262449806,Café
9,Loyal Heights,47.68327611825291,-122.38490775305536,Mike & Mike's Guitar Bar,47.68687137232568,-122.38842487335205,Music Store
10,Adams,47.670089099418966,-122.38629467804141,Salt & Straw,47.66820996603503,-122.38553358465342,Ice Cream Shop
11,Adams,47.670089099418966,-122.38629467804141,Annie's Art and Frame Shop,47.66873057045572,-122.38546801379113,Design Studio
12,Adams,47.670089099418966,-122.38629467804141,Cafe Besalu,47.67197127046342,-122.38775528572725,Bakery
13,Adams,47.670089099418966,-122.38629467804141,Pestle Rock,47.66853238288658,-122.38661516925326,Thai Restaurant
14,Adams,47.670089099418966,-122.38629467804141,La Carta De Oaxaca,47.6681689403781,-122.38576711568744,Mexican Restaurant
15,Adams,47.670089099418966,-122.38629467804141,Ocho,47.66858851536586,-122.38744605331455,Tapas Restaurant
16,Adams,47.670089099418966,-122.38629467804141,Cupcake Royale and Verite Coffee,47.66882852714093,-122.38437785628311,Cupcake Shop
17,Adams,47.670089099418966,-122.38629467804141,Pie Bar,47.66872527413659,-122.3856557064263,Dessert Shop
18,Adams,47.670089099418966,-122.38629467804141,8oz Burger & Co.,47.66860137419473,-122.38819226582079,Burger Joint
19,Adams,47.670089099418966,-122.38629467804141,Ballard Health Club,47.66884132060383,-122.38502456109715,Gym
20,Adams,47.670089099418966,-122.38629467804141,Tall Grass Bakery,47.671982269727195,-122.38769017869045,Bakery
21,Adams,47.670089099418966,-122.38629467804141,Ballard Coffee Works,47.66885345349778,-122.38471629745673,Coffee Shop
22,Adams,47.670089099418966,-122.38629467804141,Hot Cakes Molten Chocolate Cakery,47.668074232524674,-122.38560120995655,Dessert Shop
23,Adams,47.670089099418966,-122.38629467804141,Gather Kitchen + Bar,47.669722972367396,-122.38491065982053,New American Restaurant
24,Adams,47.670089099418966,-122.38629467804141,Shakti Vinyasa Yoga,47.66870210615318,-122.38631591317935,Yoga Studio
25,Adams,47.670089099418966,-122.38629467804141,Vain,47.66757498295675,-122.38475619233688,Salon / Barbershop
26,Adams,47.670089099418966,-122.38629467804141,Sonic Boom Records,47.66860225410091,-122.3851395277658,Record Shop
27,Adams,47.670089099418966,-122.38629467804141,Dandelion Botanical Company,47.668365161713,-122.38566775787089,Hobby Shop
28,Adams,47.670089099418966,-122.38629467804141,Pink Bee,47.669632,-122.382668,Thai Restaurant
29,Adams,47.670089099418966,-122.38629467804141,Ballard Farmer's Market,47.66746622660104,-122.3843155334636,Farmers Market
30,Adams,47.670089099418966,-122.38629467804141,DIGS,47.66885871632632,-122.38237945623767,Furniture / Home Store
31,Adams,47.670089099418966,-122.38629467804141,Skål Beer Hall,47.66804670045908,-122.38581667933067,Beer Bar
32,Adams,47.670089099418966,-122.38629467804141,Mr. Gyros,47.669304093851295,-122.38201770061767,Mediterranean Restaurant
33,Adams,47.670089099418966,-122.38629467804141,Caffe Umbria,47.66767820784637,-122.38501768533699,Coffee Shop
34,Adams,47.670089099418966,-122.38629467804141,Katsu Burger & Sushi,47.669525543434766,-122.38375995547115,Burger Joint
35,Adams,47.670089099418966,-122.38629467804141,Lucca Great Finds,47.66722673851064,-122.38392296925407,Miscellaneous Shop
36,Adams,47.670089099418966,-122.38629467804141,Little Tin Goods & Apothecary Cabinet,47.667091873627314,-122.38427536508347,Cocktail Bar
37,Adams,47.670089099418966,-122.38629467804141,Miro Tea,47.66766247145386,-122.38488912634942,Tea Room
38,Adams,47.670089099418966,-122.38629467804141,D’Ambrosio Gelato,47.66724570384463,-122.38427993011997,Ice Cream Shop
39,Adams,47.670089099418966,-122.38629467804141,Full Tilt Ice Cream,47.667936160174065,-122.38385774835058,Ice Cream Shop
40,Whittier Heights,47.683296192296396,-122.37142025116897,Un Bien,47.68163662900125,-122.37663719087422,Caribbean Restaurant
41,Whittier Heights,47.683296192296396,-122.37142025116897,Frankie & Jo’s,47.67952771129339,-122.37459443715365,Ice Cream Shop
42,Whittier Heights,47.683296192296396,-122.37142025116897,Delancey,47.67954593341448,-122.37476960718206,Pizza Place
43,Whittier Heights,47.683296192296396,-122.37142025116897,The Fat Hen,47.67959362101355,-122.37453550782013,Breakfast Spot
44,Whittier Heights,47.683296192296396,-122.37142025116897,Rosellini's,47.67952480918485,-122.37472955938681,Bakery
45,Whittier Heights,47.683296192296396,-122.37142025116897,Essex,47.679485575063595,-122.37489114357932,Cocktail Bar
46,Whittier Heights,47.683296192296396,-122.37142025116897,Lunchbox Laboratory,47.68163502216339,-122.376571,Burger Joint
47,Whittier Heights,47.683296192296396,-122.37142025116897,Budget Truck Rental,47.685379,-122.376353,Rental Car Location
48,Whittier Heights,47.683296192296396,-122.37142025116897,Viet Nam Restaurant,47.68074174164696,-122.3765923409503,Vietnamese Restaurant
49,Whittier Heights,47.683296192296396,-122.37142025116897,Thunderbird Tavern,47.683719080025554,-122.37702409468814,Bar
50,Whittier Heights,47.683296192296396,-122.37142025116897,Sazon Kitchen,47.681571,-122.377033,Mexican Restaurant
